FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.272274,272274,"LINESTRING (16.315343208279096 48.19053237401043, 16.315318387635948 48.19048677465167, 16.315244040667455 48.190411937343434, 16.315170492208466 48.19035841412991, 16.31510003281855 48.19031595312933, 16.315036839321163 48.19026638875263, 16.314988442753265 48.190211700911625, 16.314948388111173 48.190149730055964, 16.314877964768467 48.19001797945541)",10,1,Straßenbahn,
OEFFLINIENOGD.272275,272275,"LINESTRING (16.31584894604077 48.19023748671567, 16.315497639771237 48.19023562554536, 16.315336788190695 48.190217789929164, 16.315201226007698 48.19019060571678, 16.315091489182805 48.190159109314806, 16.31499533972496 48.19012024084313, 16.314920716524057 48.19006536828213, 16.314877964768467 48.19001797945541)",60,1,Straßenbahn,
OEFFLINIENOGD.272276,272276,"LINESTRING (16.31584894604077 48.19023748671567, 16.31559137958167 48.19024769328567, 16.31545269809398 48.190284270943124, 16.3153517966177 48.190354490016745, 16.315326611451802 48.19043875219607, 16.315343208279096 48.19053237401043)",52,1,Straßenbahn,
OEFFLINIENOGD.272277,272277,"LINESTRING (16.38638006789361 48.19432035177268, 16.38635502917597 48.19419091938329, 16.38630855345572 48.193975359966956, 16.386132228796153 48.193096798727055, 16.385932097010258 48.19213685672867, 16.38584574671106 48.19171987729737, 16.385719549370133 48.1911257480024, 16.385216531273578 48.188655227911035, 16.385200442883068 48.188575998842474, 16.385189698707073 48.188504619497664, 16.385169359334245 48.188445378838146, 16.38513942548162 48.18840041995064, 16.385094548266544 48.18835832277776, 16.38503366797154 48.1883247975681, 16.38496639207841 48.18830341143581, 16.38487563595817 48.188287030973314, 16.384781000379228 48.188281213755445)",O,1,Straßenbahn,
OEFFLINIENOGD.272278,272278,"LINESTRING (16.339030443620448 48.19586548661909, 16.338926873217382 48.19578839463869, 16.33878700062218 48.19567561103858, 16.338699446887404 48.19561850595508, 16.338610827499295 48.195578532949185, 16.33810687300409 48.19540793465341, 16.337762007623468 48.19528944332889, 16.337515372161565 48.19520378504752, 16.337408603423636 48.19515667339393, 16.33730183327639 48.195098139325985, 16.337190794087206 48.195042460551555, 16.337101108858118 48.19500248638763, 16.3369516339723 48.19494752266145, 16.336652683879795 48.19484401759711, 16.33622027766169 48.1946926840781, 16.336050519371454 48.194618444876276, 16.335494919671177 48.19432400620932, 16.335242853939203 48.19419135421786, 16.334969403568266 48.19402668551397, 16.334565352352442 48.1937467210789, 16.333967087174614 48.193277443945085, 16.33346150586809 48.192814820850415, 16.33281318515197 48.19219529620896, 16.332645196550672 48.19204295195674, 16.33252776453394 48.19196085709099, 16.332343608510286 48.19187162108612, 16.332114968326575 48.19179725447013, 16.331595765944964 48.19167594774374, 16.331008139207718 48.191590487216004, 16.33013859963411 48.191517420010626, 16.329922323779286 48.191507246163006, 16.328803962598265 48.19142516190506, 16.32825439788603 48.19138992149566, 16.328006741830656 48.19136805516558, 16.32782169327124 48.191353765158404, 16.32760461604614 48.19134899093404, 16.327399993581892 48.19134421634718, 16.32725764940281 48.19133587680113, 16.32707082361826 48.19131087808867, 16.326741662776595 48.19122995022422, 16.326400895858562 48.19114790167435, 16.323927858366854 48.1905451181621, 16.32325904934753 48.19039845437409, 16.322926339408138 48.19032584292233, 16.32258117814873 48.1902449012918, 16.322397920582702 48.1902079973333, 16.3221292553222 48.19017941135811, 16.321289449343382 48.19011506002736, 16.320997653003044 48.19009122764534, 16.32043896972832 48.190053081617144, 16.320140055454964 48.19003281460724, 16.31986605139591 48.19001730957455, 16.31963118587636 48.19001489648872, 16.319353616293103 48.19002080534583, 16.3190582483768 48.19003979696673, 16.318657902081977 48.19006472185272, 16.317796708112777 48.19012050504334, 16.316707757913267 48.19018933049937, 16.316042287193998 48.19023085666881, 16.31584894604077 48.19023748671567)","52, 60",1,Straßenbahn,
OEFFLINIENOGD.272279,272279,"LINESTRING (16.36714852940744 48.195837972889954, 16.36712243268849 48.195612609343065, 16.367095632562595 48.1951124125455)",62,1,Straßenbahn,
OEFFLINIENOGD.272280,272280,"LINESTRING (16.311644579453716 48.19324183492575, 16.31142063828333 48.193279844615105, 16.311032829534632 48.193341274385666, 16.310386494067732 48.193414696187226, 16.30913943185609 48.19352970352335, 16.30861941042508 48.193569780044704, 16.30820753404867 48.19360448458732, 16.307588238698504 48.19365685303003, 16.30697943669821 48.19370373491939, 16.305993225915472 48.19378248264202, 16.30549923820025 48.19381875852045, 16.305231607429494 48.193830108314074, 16.304979643892576 48.193828136443365, 16.304716296929573 48.19381759484642, 16.30450135370211 48.193800403779946, 16.303577528498472 48.193725906664994, 16.302451575948176 48.193636114826575, 16.301970450356535 48.19359694938275, 16.301748389002462 48.19358260640761, 16.30156760530367 48.19357779297081, 16.30135264996451 48.19358153588034, 16.301129147625662 48.19359384095081, 16.300860080926768 48.193624216128676, 16.30057534284082 48.19367171705956, 16.299829321234462 48.19380283111422, 16.29968409972768 48.193833241680736, 16.299534599324527 48.19387507301925, 16.29940076071112 48.1939111984591, 16.299284009739186 48.19394161851205, 16.2991259730033 48.193973928134, 16.298977906520836 48.193999578567094, 16.298737306880277 48.19403090945651, 16.297992716831963 48.194137265346036, 16.297273763895124 48.19422363669943, 16.29672423474873 48.19427674988871, 16.296163326643867 48.194317482693315, 16.29573055155941 48.19433922276636, 16.295408823846067 48.19434672382844, 16.294954716390343 48.19434180284842, 16.294381046857968 48.194317801618816, 16.292852206650792 48.19426108061756, 16.292419462221837 48.19424568863016, 16.292110551376858 48.19424747372648, 16.29192974987899 48.19426168112362, 16.291758904703467 48.19428350665805, 16.291501204433413 48.19432909257258, 16.2908903808411 48.19446781469399, 16.290303767492993 48.19459226644916, 16.290127219106335 48.19462265334684, 16.28999196507344 48.194640682752805, 16.28980973544396 48.194656790111125, 16.289609005999267 48.19466622660269, 16.28844450623362 48.19469906221996, 16.287998920730946 48.19471220180919, 16.28775976374725 48.1947121014287, 16.28756901073246 48.194708213269436, 16.287372568496835 48.194699564056606, 16.287197483245535 48.19468711676157, 16.28704945421776 48.19466516230747, 16.286831681350183 48.194631757257135, 16.286679385650753 48.19460599275786, 16.28655270340705 48.19459261380666, 16.286407510999414 48.19458112968113, 16.28620963802401 48.19458104392498, 16.28598754712216 48.194597127008905, 16.285798192082083 48.19462083947839, 16.285520550507254 48.194669258606325, 16.285241475339365 48.19472909784583, 16.284570813002414 48.1948953619347, 16.283653806294353 48.195123375324485, 16.283001635699215 48.195293445527376, 16.282763845774586 48.19534473175738, 16.28244063009872 48.195406447561, 16.282086103124907 48.195459581677945, 16.28166038946844 48.19552029557033, 16.28148241877552 48.19554210155328, 16.281142156088055 48.19556763748448, 16.28083321029999 48.19559413986083, 16.28052852566182 48.19562920863008, 16.28027793708471 48.195664302886655, 16.279954733066127 48.1957107834503, 16.27966996518517 48.195757281089364, 16.279375242664873 48.195794255562504, 16.27912180804727 48.19582649143867, 16.278896850561917 48.19585398171447, 16.27874450527199 48.19587294085917, 16.278622059434028 48.19588810882378, 16.278513844948076 48.19590804211473, 16.27839992230245 48.195939393852136, 16.27828741730052 48.19597550541234, 16.278182021949362 48.19601923412312, 16.27807946652142 48.19606962726242, 16.27791990403926 48.196176146145746, 16.277268737245898 48.19668406839343, 16.277087780922948 48.19682198494004, 16.276979500080895 48.19689616846109, 16.276888325606233 48.1969513256075, 16.27674873827012 48.197014071359675, 16.276553626152456 48.19707964353324, 16.276191898855178 48.197188911305595, 16.275766082304713 48.197319083259025, 16.275361608809106 48.19745592710708, 16.27500554889988 48.197583277737664, 16.27461957853846 48.19772203267421, 16.274165239019858 48.19788644765524, 16.273182450597837 48.198272338713764, 16.27181077074093 48.19883122943229, 16.271675419229155 48.19891300735663, 16.271612705617983 48.19897007922293, 16.27156139844096 48.19901383308417, 16.2714602561679 48.199062317219706, 16.271288612930565 48.199103253970215)",52,1,Straßenbahn,
OEFFLINIENOGD.272078,272078,"LINESTRING (16.415439776665135 48.19236435063307, 16.415003650474038 48.192245677227895, 16.41448224553585 48.19218285621363, 16.41419048854325 48.192221125792656, 16.413948654402613 48.19232598641014, 16.41380654354441 48.192483127064065, 16.413757044363646 48.19269731304668, 16.41384992472478 48.192930437936695, 16.414070791898 48.193077815392634, 16.41438408033771 48.1931537456729, 16.4147612966643 48.1931439707412, 16.41515971912299 48.19303900089355, 16.415515330599675 48.1928674336788)",VAL3,3,Regionalbus,
OEFFLINIENOGD.272079,272079,"LINESTRING (16.41719931741431 48.193608913432065, 16.415439776665135 48.19236435063307)","VAL1, VAL3",3,Regionalbus,
OEFFLINIENOGD.272080,272080,"LINESTRING (16.41984063654963 48.191546141028525, 16.416968661961295 48.193171770371016, 16.416456048812325 48.193480888428546)","Air-Liner, VAL1",3,Regionalbus,
OEFFLINIENOGD.272081,272081,"LINESTRING (16.416456048812325 48.193480888428546, 16.416180388900223 48.19376177422205, 16.416002891438403 48.194047434044656, 16.41598550418165 48.19430918725682, 16.41609258447208 48.194511367250925, 16.41631520915332 48.19463613461965, 16.416591116409343 48.1946954285492, 16.416911406264596 48.19468925491188, 16.417213743664217 48.19458196673702, 16.41740019842979 48.19433793925071, 16.417399746900898 48.194052403215444, 16.417354885284123 48.193814488995976, 16.41719931741431 48.193608913432065)",VAL1,3,Regionalbus,
OEFFLINIENOGD.272082,272082,"LINESTRING (16.415439776665135 48.19236435063307, 16.413208974583398 48.19081350315345)",VAL1,3,Regionalbus,
OEFFLINIENOGD.272083,272083,"LINESTRING (16.323816667183788 48.25061889135646, 16.324827168633607 48.249909465847615)",415,3,Regionalbus,
OEFFLINIENOGD.272084,272084,"LINESTRING (16.324827168633607 48.249909465847615, 16.325337357255925 48.24987525094433, 16.325625231807184 48.24984291753423, 16.326143983071535 48.24974017199445, 16.3267738862341 48.249648853617444, 16.327671731924312 48.24937481179427, 16.32820188946705 48.2491806864408, 16.32892587151731 48.24884761229232, 16.32933630748971 48.24869725641124, 16.32973818784861 48.24858116251274, 16.33010871986062 48.248419380333644, 16.33048496169288 48.248156708402, 16.3305818774869 48.24802536805551)",415,3,Regionalbus,
OEFFLINIENOGD.272085,272085,"LINESTRING (16.3305818774869 48.24802536805551, 16.330245561410894 48.24809387919691, 16.329863645603307 48.24813954425854, 16.32926513445399 48.24809953550188, 16.328985822217152 48.248141396923906, 16.32840437373491 48.24835646125938, 16.32809939564908 48.2484725573089, 16.327737419049903 48.24856199808106, 16.327352642743232 48.24863240105925, 16.326836758071227 48.248721828042285, 16.326429166311424 48.248858850081625, 16.326098523372785 48.249007298719526, 16.32524906174847 48.24959161290972, 16.324827168633607 48.249909465847615)",415,3,Regionalbus,
OEFFLINIENOGD.272086,272086,"LINESTRING (16.3305818774869 48.24802536805551, 16.33178833013626 48.247552981474776, 16.334001601161148 48.246755929709614, 16.33438457149374 48.24668752699414, 16.33504363531351 48.24664886901851, 16.337194488261012 48.24652394883431, 16.340084519590395 48.246083687653886, 16.342115083253532 48.245780221006825, 16.343335192842183 48.24560764151041, 16.344644224669448 48.24465279928657, 16.345378855557513 48.24407275276546, 16.34591757383988 48.24364440783822, 16.346496387771875 48.243358823239284, 16.346981713637074 48.24320708895014, 16.347596176430503 48.24309103097829, 16.348108231575605 48.24301067250872, 16.348415461976316 48.24296007692047)",415,3,Regionalbus,
OEFFLINIENOGD.272087,272087,"LINESTRING (16.44087564904954 48.15326428231548, 16.44290771616537 48.15231061934534, 16.44422918124552 48.151666922849934, 16.445689970496876 48.153012328314816, 16.447700573143905 48.15204432413141, 16.44528489587532 48.14980516853554, 16.441806562011962 48.149427700559976, 16.440360198242665 48.1480822327511, 16.443748907112283 48.14645630011268, 16.446412744177533 48.14513553892534, 16.448552504285335 48.14484792809319, 16.448695877346044 48.145376033841636, 16.45148966823542 48.145011581334884, 16.450579815582557 48.14180732081887, 16.44776483343964 48.14215987385679, 16.448194422535646 48.14368232865471, 16.44602623497475 48.14395568317044, 16.444747640072986 48.144592221828205, 16.442300444727362 48.14235303045235, 16.436897970825083 48.144956294721794, 16.433610847760068 48.146589077676566, 16.430230804944006 48.14827181269111, 16.429849546689653 48.14978547676976, 16.42932030213474 48.15206307363624, 16.432662386311648 48.15042783455633, 16.43508737509938 48.15264122765228, 16.434172069312112 48.15656340064488, 16.435534695034985 48.155943564885604, 16.44087564904954 48.15326428231548)",ZF,3,Regionalbus,
OEFFLINIENOGD.272088,272088,"LINESTRING (16.358345731054044 48.18159502925221, 16.358739711069937 48.181231156112645, 16.358907714749893 48.18101309479108)","303, G1",3,Regionalbus,
OEFFLINIENOGD.272089,272089,"LINESTRING (16.358345731054044 48.18159502925221, 16.35983264381885 48.182864680567974, 16.361123077190218 48.18416419308195, 16.362146514330803 48.18508601141098, 16.36332147303136 48.186492601200705, 16.364127125001698 48.18756019477887, 16.364452163254324 48.188166879983044, 16.364683672524244 48.18854753761803, 16.364981915985126 48.18894305017177, 16.36583642945091 48.1897637489689, 16.366058986067422 48.1900165094576, 16.36632614426006 48.19046853918156, 16.36659802125452 48.191369690643384, 16.36674084872129 48.19217867160783, 16.366937214374076 48.193240456913706, 16.367053254741244 48.193870984297526, 16.366987111193758 48.19484360857474, 16.366925099784716 48.19529275033699, 16.367014495393764 48.19599764256847, 16.367085034770575 48.19639023423298)",303,3,Regionalbus,
OEFFLINIENOGD.272090,272090,"LINESTRING (16.365579936359012 48.197043794106136, 16.366221450009174 48.19855339902155, 16.366670570380393 48.19967400846024, 16.366814882892644 48.19994879784572)","303, G1",3,Regionalbus,
OEFFLINIENOGD.272091,272091,"LINESTRING (16.36681001812004 48.200862813714004, 16.366853030122932 48.200397558060125, 16.366838921177372 48.20005978950525)","303, G1",3,Regionalbus,
OEFFLINIENOGD.272092,272092,"LINESTRING (16.366814882892644 48.19994879784572, 16.366838921177372 48.20005978950525)",303,3,Regionalbus,
OEFFLINIENOGD.272093,272093,"LINESTRING (16.368931925334913 48.201038550102716, 16.369076255122252 48.201313337479, 16.369087058387176 48.2015096395216, 16.369407813160308 48.20214486397271, 16.369364025654782 48.20225952322669, 16.368065018939987 48.202548401365114, 16.367838341665955 48.20251293455439, 16.3677742214638 48.2024308611264, 16.367212922510113 48.201292440752226, 16.36681001812004 48.200862813714004)",303,3,Regionalbus,
OEFFLINIENOGD.272094,272094,"LINESTRING (16.368792687511952 48.200789155273974, 16.368695660214964 48.2006153634121, 16.368129106005426 48.19961257829261, 16.36794216092161 48.199473432002144, 16.367819276781653 48.19932712803681, 16.36756796673764 48.19869544928923, 16.36743942813622 48.19802447568387, 16.367369623678332 48.197364193260256, 16.367289286108594 48.19693947974866, 16.3672357629388 48.19671106599967, 16.367085034770575 48.19639023423298)",303,3,Regionalbus,
